gRNA_id,ABE_T0_REP1,ABE_T0_REP2,ABE_T0_REP3,ABE_DMSO_REP1,ABE_DMSO_REP2,ABE_DMSO_REP3,ABE_SY-5609_10nM_REP1,ABE_SY-5609_10nM_REP2,ABE_SY-5609_10nM_REP3,ABE_SY-5609_100nM_REP1,ABE_SY-5609_100nM_REP2,ABE_SY-5609_100nM_REP3,Plasmid
gRNA_CDK7_targ_147,579.0,349.0,585.0,895.0,273.0,101.0,11.0,102.0,153.0,422.0,528.0,29.0,7787.0
gRNA_CDK7_targ_148,120.0,73.0,164.0,358.0,346.0,50.0,10.0,18.0,176.0,1.0,85.0,0.0,2778.0
gRNA_CDK7_targ_149,61.0,154.0,760.0,791.0,132.0,95.0,49.0,11.0,126.0,8.0,127.0,1.0,4714.0
gRNA_CDK7_targ_150,2851.0,2114.0,1160.0,6101.0,1474.0,1148.0,70.0,364.0,238.0,1921.0,1135.0,607.0,11484.0
gRNA_CDK7_targ_151,776.0,1225.0,452.0,2033.0,2122.0,139.0,66.0,292.0,685.0,568.0,330.0,402.0,5313.0
gRNA_CDK7_targ_152,219.0,832.0,241.0,1894.0,60.0,433.0,15.0,74.0,613.0,1305.0,367.0,566.0,4126.0
gRNA_CDK7_targ_153,1583.0,3041.0,5377.0,6752.0,6906.0,1376.0,393.0,1012.0,1504.0,2530.0,825.0,220.0,10339.0
gRNA_CDK7_targ_154,820.0,1250.0,91.0,2154.0,796.0,484.0,18.0,264.0,635.0,810.0,317.0,89.0,5374.0
gRNA_CDK7_targ_155,2186.0,1191.0,4146.0,3331.0,4719.0,2544.0,196.0,239.0,1525.0,2232.0,2581.0,2063.0,11477.0
gRNA_CDK7_targ_156,1960.0,669.0,1367.0,1759.0,373.0,643.0,34.0,355.0,293.0,667.0,1420.0,23.0,6313.0
gRNA_CDK7_targ_157,484.0,736.0,2324.0,751.0,673.0,170.0,39.0,91.0,27.0,559.0,50.0,1029.0,5784.0
gRNA_CDK7_targ_158,1591.0,1920.0,2571.0,4922.0,1898.0,791.0,62.0,496.0,861.0,391.0,416.0,175.0,9213.0
gRNA_CDK7_targ_159,647.0,192.0,141.0,1066.0,264.0,202.0,11.0,176.0,19.0,21.0,961.0,117.0,3527.0
gRNA_CDK7_targ_160,1207.0,394.0,243.0,1317.0,681.0,25.0,39.0,250.0,360.0,649.0,326.0,190.0,4464.0
gRNA_CDK7_targ_161,3331.0,4394.0,4607.0,9328.0,6815.0,3035.0,449.0,3469.0,793.0,5640.0,6141.0,3194.0,8759.0
gRNA_CDK7_targ_162,7787.0,5103.0,5225.0,14775.0,9339.0,3397.0,376.0,2576.0,3952.0,4053.0,4022.0,1901.0,6798.0
gRNA_CDK7_targ_163,4481.0,1333.0,1900.0,4066.0,3672.0,1236.0,98.0,1162.0,144.0,1082.0,4223.0,43.0,3590.0
